,index,MEMBER_NO,ID,PW,NAME,MOBILE_NO,RRN,BIRTHDAY,AGE,GENDER,ISNATIVE,ADDRESS,ADDRESS_DETAIL
48,49,Z6644296361ST,fhwang@jusighoesa.kr474,397673,손민재,054-653-8858,902583-1766992,1970-07-12,54,F,N,부산광역시 마포구,서북구 영동대로 (하은김김면)
49,50,Z8714217671ST,ljeong@jusighoesa.kr352,191862,이준영,063-663-2239,707179-2387576,1956-02-07,80,F,N,대구광역시 도봉구,석촌호수758로 (정수허마을)
50,51,Z8504278911ST,hwangmyeongja@hanmail.net990,112656,이명자,041-383-3600,638215-2112130,1956-06-12,63,F,N,전라북도 부천시,테헤란길
51,52,Z1014240311ST,jihyebag@jeonggimgim.com731,334541,이준호,018-130-7525,656893-1803518,1997-10-30,26,M,N,충청북도 고양시,서초중앙가 (정희김이리)
52,53,Z9734279611ST,xmun@daum.net794,606426,이영순,042-708-0285,899220-1695692,1939-09-22,66,M,N,광주광역시 서대문구,서초중앙643로 (선영김리)
53,54,Z3534231121ST,iyejun@daum.net640,769391,이정웅,016-776-6451,673866-1552997,1986-03-03,33,F,N,대전광역시 도봉구,가락495길
54,55,Z6534230371ST,jgo@hotmail.com705,306849,이중수,061-656-7323,709714-1432962,1963-12-25,54,M,N,강원도 안산시,반포대로
55,56,Z7714283751ST,jeonghungim@jusighoesa.com956,497722,노성민,017-172-0016,687582-1164191,1951-01-31,70,M,N,울산광역시 송파구,선릉555로
56,57,Z6804295381ST,gimgwangsu@yuhanhoesa.kr247,650677,박지원,063-137-6415,937077-1235027,1967-02-14,58,F,N,제주특별자치도 고양시,개포153로
57,58,Z7834256941ST,hyeonji71@yunsimi.com561,778089,김은경,042-161-3572,673176-2171669,1943-02-19,77,F,N,경기도 용인시,석촌호수8가 (미경김김면)
58,59,Z4433264831ST,tjang@anbag.com14,176249,안승현,032-638-9169,911107-1286918,1973-04-13,47,F,N,서울특별시 관악구,가락48길 (현준강김마을)
59,60,Z9624256421ST,hyeonju77@hotmail.com606,194606,이명숙,054-465-3914,699600-2064110,1946-03-22,80,M,N,강원도 음성군,동안구 영동대5길 (현숙이면)
60,61,Z3513297881ST,qbag@yuhanhoesa.kr951,990675,고승민,043-658-9507,848718-2291933,1976-06-08,48,M,N,부산광역시 관악구,수지구 삼성798가 (예은이김리)
61,62,Z6714294061ST,jeonghun00@jusighoesa.kr787,695635,송예지,051-749-7504,732226-1409244,1964-10-13,56,F,N,인천광역시 마포구,기흥구 도산대로
62,63,Z7714215691ST,gimjeongsun@dreamwiz.com534,592449,심정남,061-599-3691,608752-1424459,1944-02-10,66,M,N,인천광역시 송파구,영동대760거리 (준영이마을)
63,64,Z0604294371ST,jiyeon58@ju.com754,921097,이상호,061-577-7001,678100-1815736,1994-11-17,26,M,N,충청북도 오산시,서초대7길
64,65,Z4804276781ST,gangmyeongja@dreamwiz.com974,262682,홍혜진,031-452-0040,787627-1442605,1979-08-11,47,M,N,충청북도 강릉시,논현거리
65,66,Z5824251871ST,vgim@gmail.com476,747204,이도현,043-748-1337,626765-1285783,1963-03-25,50,F,N,대구광역시 중구,반포대길 (영길이마을)
66,67,Z9534265661ST,ebaeg@iyangbag.com918,671266,이정남,051-664-5402,731705-2087041,1938-08-13,64,F,N,부산광역시 동작구,논현길
67,68,Z7544254771ST,eunjibag@yu.com798,523602,김동현,055-550-3787,813443-1426653,1935-02-17,78,M,N,광주광역시 구로구,양재천로 (예지하리)
68,69,Z9723252411ST,eunjeonggim@gimgim.net686,783927,김승현,061-666-2611,947343-1901122,1931-08-07,73,M,N,제주특별자치도 괴산군,백제고분928거리 (재현안김동)
69,70,Z0504235341ST,miyeong51@igimbag.com828,906492,이혜진,044-700-1436,724220-2212590,1992-11-09,22,M,N,충청북도 원주시,테헤란가
70,71,Z7644270801ST,mi@nate.com426,518263,송서연,062-742-5632,904868-1183594,1939-04-20,80,F,N,제주특별자치도 의정부시,역삼로 (성훈한김리)
71,72,Z7054276701ST,gyeongsug88@yu.com773,625306,주정순,061-860-6944,944582-1226611,1966-04-03,59,M,N,충청남도 용인시,논현367가
72,73,Z9714280091ST,baggyeongja@dreamwiz.com156,869829,김정수,061-918-6776,603806-1359858,1949-12-19,69,F,N,충청북도 양주시,테헤란4가
73,74,Z5934244941ST,yeongho93@naver.com13,470689,이수진,044-823-8404,706178-2167188,1967-12-17,59,M,N,전라북도 평택시,석촌호수로
74,75,Z6534270931ST,jeonghoi@ui.org714,668135,김승민,070-6038-2531,948317-1898299,1967-03-08,53,M,N,경상북도 안성시,반포대로 (서준우김면)
75,76,Z2814225971ST,jna@ju.com358,503403,양미영,018-662-5552,825000-1636019,1989-01-24,32,M,N,대구광역시 종로구,학동로
76,77,Z8824213311ST,minsubag@live.com436,109355,김미영,061-841-0519,827577-1152581,1956-03-10,74,M,N,경상북도 천안시,봉은사길 (승민이이마을)
77,78,Z3223258131ST,jia07@live.com293,671013,김정호,019-196-1064,936703-2096682,1985-03-07,35,M,N,경상북도 양양군,서초대8길
78,79,Z8824230171ST,yo@ijang.kr104,357603,고지연,042-991-2821,623444-1648716,1940-10-02,69,F,N,서울특별시 용산구,백제고분98거리 (영수배김동)
79,80,Z1634297301ST,haeungu@ibae.com425,896211,손민석,053-360-1027,762951-2326446,1991-10-17,25,F,N,광주광역시 서초구,논현6가 (은영김마을)
80,81,Z9814297921ST,ei@jusighoesa.com411,399297,이윤서,063-153-2713,919119-1186111,1942-09-15,77,F,F,충청남도 홍성군,논현가
81,82,Z3963245681ST,seonghonam@daum.net409,869882,송재현,055-218-1382,833009-1875388,1972-01-14,43,F,N,대전광역시 성동구,언주343로 (지영김김면)
82,83,Z8714270021ST,coejeongsig@live.com366,656141,김동현,051-095-8774,793239-2129759,1954-01-11,74,M,N,충청북도 군포시,원미구 언주1거리
83,84,Z7063295161ST,dohyeon03@naver.com963,105842,박미경,031-986-2502,662444-1433264,1966-05-27,52,M,N,인천광역시 용산구,서초대7길 (순자김김면)
84,85,Z0544255571ST,vheo@yu.com770,276385,문하은,055-148-5630,929861-1516340,1996-08-24,26,M,N,대전광역시 동작구,분당구 선릉길
85,86,Z6863222051ST,yseo@yu.org247,596422,김예은,018-470-3248,911954-2311266,1962-05-16,56,F,N,광주광역시 동작구,역삼281가
86,87,Z2163227551ST,yunjeonghun@gimcoe.net900,867606,김은주,043-915-1729,836722-2091511,1980-10-28,31,F,N,전라북도 수원시,봉은사거리
87,88,Z1634243981ST,joyejin@janggimgim.com562,131071,오우진,018-137-5924,970483-1141118,1992-08-24,23,M,N,충청북도 고양시,삼성로 (현정민이리)
88,89,Z0073252821ST,coejieun@ganggimo.com239,348995,김옥자,054-773-2946,622717-2254877,1995-12-19,23,M,N,부산광역시 동작구,장안구 압구정50가 (지혜남리)
89,90,Z8114291981ST,bagmyeongja@daum.net135,174096,최현주,061-748-5519,636407-1964370,1959-06-04,66,M,N,전라북도 양양군,논현가 (성훈김박동)
90,91,Z3143299691ST,yeji24@hanmail.net95,197599,한성훈,032-509-1648,961149-1923622,1983-01-17,34,M,N,충청북도 김포시,반포대1길
91,92,Z4124254371ST,sangceolcoe@nate.com396,994270,류지원,031-848-8952,731572-1518950,1978-03-21,41,F,N,경상북도 춘천시,삼성0길 (지은홍읍)
92,93,Z7924285181ST,jinho13@live.com393,288785,김정희,051-746-5269,846153-2184624,1943-03-28,74,F,N,전라남도 광명시,가락410가
93,94,Z5824215421ST,jiyeong10@hwanggim.com276,607803,이정훈,018-481-2822,851697-2097326,1967-03-24,59,M,N,전라남도 홍성군,압구정로 (정숙이리)
94,95,Z2443214041ST,seonyeong89@yu.com588,160878,박시우,051-437-5101,705219-1287561,1982-02-14,36,F,N,광주광역시 마포구,봉은사거리
95,96,Z2824264781ST,mi@dreamwiz.com69,528554,김영숙,064-745-2590,846674-1865019,1982-04-29,35,F,N,경상남도 논산시,양재천0거리
96,97,Z9204235311ST,gimhyeonjun@ju.kr984,452528,박성현,063-253-0153,684943-1756171,1942-01-23,61,M,N,경상남도 고양시,논현774로
97,98,Z6624281401ST,pbag@jingimim.kr543,398369,한서영,062-718-2302,899605-2324493,1961-06-05,56,F,N,대구광역시 송파구,석촌호수거리 (성민이김면)
98,99,Z1323246061ST,gwangsucoe@naver.com63,680966,김상현,053-434-3368,730338-1192968,1994-08-27,22,M,N,대전광역시 남구,학동5거리 (서연박마을)
99,100,Z3153227211ST,rgim@dreamwiz.com660,487390,서정자,041-951-0965,600484-2157906,1987-01-30,37,M,N,인천광역시 금천구,덕양구 압구정가 (재현최김읍)
100,101,Z0634286431ST,jeonghyi11@naver.com471,102278,한서준,010-6814-0737,659405-1435908,1994-01-01,22,F,N,경기도 청주시,학동거리 (은영김면)
101,102,Z3213231431ST,vjo@jusighoesa.com689,618596,이상훈,043-863-1224,880561-1397080,1989-09-03,34,M,N,대전광역시 성북구,학동9거리
102,103,Z4763276021ST,seunghyeon76@gmail.com461,277502,최진호,016-156-4504,641250-1296120,1980-08-26,42,F,N,대전광역시 강북구,석촌호수거리 (상훈박남마을)
103,104,Z8534282531ST,yueunjeong@jusighoesa.kr239,508168,이정남,031-068-3262,806286-1899706,1955-01-10,71,F,N,광주광역시 강북구,학동4로
104,105,Z0904266671ST,bagseoyeong@siman.org381,273818,문은영,010-9872-4206,815199-1309312,1997-02-21,23,M,N,전라남도 광주시,서초중앙9길 (병철이남리)
105,106,Z4714259331ST,jeonghun76@gimcoe.kr815,457329,윤아름,052-656-5789,831039-1943734,1977-04-10,43,F,N,세종특별자치시 노원구,선릉83가
106,107,Z6234241251ST,yujin71@ijo.net582,133271,장순자,032-375-5538,911420-2282480,1966-04-07,50,F,N,경상북도 안산시,석촌호수493로
107,108,Z5273284201ST,ui@yungimgim.com888,134422,박성훈,041-920-1619,717906-2246075,1973-01-20,46,M,N,충청남도 부여군,잠실5가 (하윤김리)
108,109,Z6533282191ST,yeonghwan85@yu.kr784,114831,하현주,033-170-5745,609482-2118649,1961-06-28,59,M,N,전라남도 파주시,테헤란거리 (은경이마을)
109,110,Z0534211101ST,geonugim@gmail.com4,955713,이영순,041-747-2551,631220-2133695,1997-06-10,20,M,N,전라남도 포천시,언주8로 (채원곽리)
110,111,Z9353280571ST,misug72@nate.com946,921696,윤영희,061-175-7587,856207-2309965,1930-12-07,74,M,N,충청남도 성남시,서초대거리
111,112,Z9634299041ST,yeongsugbag@ju.com754,868453,김현지,062-798-9695,988227-1700012,1935-12-17,71,F,N,서울특별시 강동구,오금35거리 (은서이마을)
112,113,Z1814298771ST,mgang@live.com696,475980,김민수,033-113-5136,767417-2240748,1988-05-22,35,F,N,부산광역시 관악구,학동8가
113,114,Z3623262561ST,jinhoan@gmail.com608,418443,이지연,031-021-8579,856614-2059087,1975-09-17,44,M,N,경상북도 금산군,가락로 (민석최동)
114,115,Z3743295681ST,gimhyeonji@jusighoesa.kr825,867702,송지후,044-992-8054,626029-1463517,1975-05-30,45,M,N,부산광역시 마포구,석촌호수거리 (지우문읍)
115,116,Z8804239511ST,haeungim@daum.net41,974442,양상훈,044-115-8201,671041-1568599,1954-05-28,63,M,N,강원도 여주시,백제고분11로
116,117,Z2524246101ST,jimin30@ubaggim.com190,596457,박수민,010-6962-5589,768271-1733118,1985-12-23,38,M,N,대구광역시 중랑구,영통구 논현거리 (미경홍권리)
117,118,Z2273212811ST,gweonyunseo@daum.net545,902829,이준서,064-730-8450,736980-1526545,1987-07-02,36,M,N,경기도 공주시,압구정5가
118,119,Z7504212981ST,gimeunjeong@muni.kr80,331936,박지원,042-819-9064,833330-1796091,1964-05-26,53,F,N,전라남도 안산시,도산대길
119,120,Z2604280941ST,yeweonbag@ju.com69,926357,이정웅,055-584-6176,698404-1668721,1982-03-26,33,F,N,충청남도 증평군,동남구 봉은사로 (정웅문읍)
120,121,Z3644240271ST,jeongsug36@ju.com283,974306,박재현,018-897-2309,811688-1734120,1979-12-31,43,F,N,충청남도 홍성군,언주97가
121,122,Z9734215061ST,junhyeog97@gimigim.org137,683367,이상호,063-039-4952,904779-1236331,1946-02-07,76,F,N,광주광역시 은평구,선릉로
122,123,Z3744284291ST,ijang@yuhanhoesa.org77,380443,송영일,041-360-2928,709841-1129354,1980-06-19,40,F,N,제주특별자치도 괴산군,상당구 잠실495가 (정수엄동)
123,124,Z1814298081ST,jeonghunjang@hotmail.com645,888858,홍지은,062-208-0059,804311-1262033,1987-06-28,33,F,N,충청남도 여주시,양재천9길 (은지손면)
124,125,Z7743221221ST,yeongsiggim@jangyun.net554,349182,김영희,063-236-5281,631071-1694928,1942-01-09,74,M,N,광주광역시 은평구,삼성거리
125,126,Z8153288771ST,donghyeon77@live.com956,448096,류순옥,055-653-8372,862300-2380704,1945-06-01,69,M,N,대전광역시 용산구,서초중앙로 (영호강읍)
126,127,Z0824273891ST,iseongho@daum.net127,497404,최시우,041-653-3951,746814-1213579,1997-09-16,28,F,N,서울특별시 송파구,중원구 개포5거리
127,128,Z2634225461ST,geonu93@hanmail.net79,142319,이지훈,019-261-5026,906764-1351650,1989-07-23,30,F,N,경기도 안성시,서초중앙264거리 (예지이읍)
128,129,Z0853289591ST,vmin@live.com886,256703,최승민,070-3784-9387,882368-1509099,1991-10-22,23,M,N,강원도 수원시,개포04길 (아름김동)
129,130,Z1753274911ST,jinho11@nate.com282,620979,강예원,061-020-9216,798773-1800307,1990-08-09,37,M,N,경기도 용인시,서초대로
130,131,Z3663245611ST,li@yu.kr992,893735,이영환,018-658-8452,699184-1315067,1977-05-24,49,M,N,강원도 청주시,언주8로
131,132,Z6644215151ST,emun@live.com835,866976,박현준,070-0463-5757,805706-1382478,1964-03-31,58,F,N,대구광역시 용산구,학동거리 (영미김하읍)
132,133,Z2524287841ST,seonghyeon15@live.com994,773747,곽춘자,070-3580-9956,986789-1256386,1981-10-08,31,F,F,경상북도 안성시,백제고분343가
133,134,Z4704282051ST,seominjae@naver.com595,690436,한윤서,019-225-9477,645178-1684044,1976-10-08,43,M,N,서울특별시 은평구,논현거리 (병철이김리)
134,135,Z9843227161ST,dbag@yu.kr96,378404,손민서,033-062-1334,984927-1442198,1932-12-10,79,M,N,광주광역시 중구,영동대648가 (옥순김동)
135,136,Z9714236851ST,sumingim@gojang.kr194,636577,류옥자,043-040-7899,864588-1915709,1951-09-14,65,M,N,경상북도 오산시,반포대가
136,137,Z3933236431ST,iyeonghyi@nate.com144,457395,김혜진,018-837-5891,703732-1849746,1974-10-14,44,F,N,서울특별시 금천구,도산대가
137,138,Z8534239911ST,sangho02@daum.net294,189641,정예원,055-140-9849,871966-1215268,1950-08-01,78,M,N,경상북도 평창군,가락거리 (정자김고읍)
138,139,Z1924223071ST,seonghunbag@hotmail.com953,726806,이민준,070-4078-2819,945194-1466033,1986-09-01,38,M,N,경상북도 안양시,오금로 (진호이이동)
139,140,Z0604256301ST,eungyeongi@gmail.com897,582272,이지현,051-054-6867,686803-1587079,1994-02-24,25,F,N,전라북도 아산시,선릉9로
140,141,Z2634252801ST,namhaeun@naver.com836,555627,배윤서,033-066-4383,900716-1958556,1990-08-14,37,F,N,울산광역시 서초구,영동대가 (지훈이홍읍)
141,142,Z4963290911ST,sgim@yuhanhoesa.net83,741228,김수진,02-8329-5676,618894-1609558,1971-04-06,40,M,N,전라북도 안성시,테헤란31가 (성민김김마을)
142,143,Z1963246391ST,ujang@hanhangim.kr792,184156,이윤서,018-278-2219,677588-2161341,1982-04-20,37,M,N,광주광역시 금천구,테헤란로 (은지양오읍)
143,144,Z8534239781ST,imijeong@yu.com739,273339,임명숙,018-698-4006,850702-1162369,1949-06-23,67,F,N,강원도 청주시,백제고분16가 (영호윤면)
144,145,Z8434215021ST,ijinho@igim.org45,418437,서영철,031-381-3044,706742-1460101,1937-03-12,80,F,N,서울특별시 도봉구,백제고분444로 (채원송이리)
145,146,Z8173241271ST,igyeongsug@ihancoe.com232,865749,이예은,044-119-3375,899584-1247720,1942-12-11,72,F,N,부산광역시 남구,역삼길
146,147,Z9714229201ST,sanghyeoni@daum.net700,481511,최수진,064-760-4042,704035-1481112,1937-05-01,73,F,N,전라남도 보령시,오금1길
147,148,Z0814214671ST,bagjunyeong@yuhanhoesa.org417,145578,유은경,016-454-7650,907337-1951632,1994-10-27,28,F,N,세종특별자치시 서초구,잠실155로
148,149,Z8534255871ST,lcoe@yu.net102,312017,강지은,070-9023-7357,650319-1667003,1934-09-13,65,F,N,경상남도 여주시,압구정거리
149,150,Z9724289011ST,agim@ju.kr935,657906,김예준,02-0705-2460,719707-2295367,1950-09-09,75,F,N,울산광역시 용산구,석촌호수로
150,151,Z1314254531ST,ii@ju.com147,361200,김하은,061-440-4247,831300-1214638,1993-08-10,28,F,N,전라남도 청주시,삼성가 (지후김면)
151,152,Z5714297251ST,minjaeryu@naver.com173,525381,김은주,010-4079-2758,821160-1704984,1964-02-14,57,M,N,광주광역시 서초구,팔달구 백제고분가
152,153,Z3324217291ST,jeongsui@dreamwiz.com697,357451,김정순,032-603-4853,870432-2237282,1981-01-16,37,F,N,울산광역시 광진구,흥덕구 도산대2가
153,154,Z2963249541ST,dbag@yu.com841,636750,장서준,070-3079-7293,842170-2164488,1982-02-10,38,M,F,충청북도 횡성군,반포대55가
154,155,Z0634272021ST,gimseonyeong@gimgimgim.com429,527220,김민수,011-985-1393,809728-2000874,1991-07-19,20,F,N,경기도 청주시,잠실로
155,156,Z7344293511ST,gyeongsug17@nate.com991,567461,김재호,064-733-1755,653658-1153916,1967-05-22,55,M,N,전라남도 증평군,압구정80길
156,157,Z2963231761ST,ybag@gimgim.org858,659570,김영식,041-814-6091,708378-1597233,1990-03-06,39,F,N,광주광역시 중랑구,반포대로 (정희김박읍)
157,158,Z6453258771ST,jimingim@gmail.com848,561452,류영길,044-578-2600,782434-1360004,1961-06-16,54,F,N,경상남도 가평군,석촌호수거리 (예준송동)
158,159,Z3614252521ST,mbag@dreamwiz.com911,885796,이수민,02-0060-4554,981224-1820588,1987-02-20,35,F,N,대구광역시 서초구,학동가 (정호주강동)
159,160,Z5824278451ST,di@daum.net657,714915,안상철,041-870-5001,798787-1122908,1968-12-11,52,F,N,서울특별시 성동구,학동0가
160,161,Z7663266541ST,sunjabag@iganggwag.net127,232233,한서연,033-747-7803,820953-1126915,1944-08-10,65,M,N,서울특별시 강서구,분당구 삼성8가 (민지고황마을)
161,162,Z0604283411ST,idonghyeon@jusighoesa.net559,465547,손성현,010-0985-9200,854079-1948544,1999-02-05,25,M,N,대구광역시 강서구,양재천가
162,163,Z9523285011ST,yeongsugi@coebaei.net760,130867,안정희,061-374-2593,617567-2247435,1949-11-29,71,M,N,광주광역시 성북구,학동길 (중수배우리)
163,164,Z1644232321ST,jeongunggim@yu.kr664,504840,곽지후,033-786-0478,933922-1686787,1984-02-10,30,M,N,서울특별시 강북구,언주거리 (지혜조면)
164,165,Z8434292851ST,seojihu@iganggim.net562,489598,김미숙,055-096-9635,771154-1703336,1953-02-01,70,M,N,강원도 시흥시,테헤란11가
165,166,Z0714282061ST,gimminjae@jusighoesa.kr683,322322,이아름,063-642-0954,827917-2363211,1991-04-20,28,M,N,인천광역시 강북구,영동대로
166,167,Z4824230981ST,ijinho@jusighoesa.org729,100202,한영식,070-7109-1271,707244-2132225,1973-03-14,46,M,N,광주광역시 중구,삼성거리 (영진한장동)
167,168,Z6353236141ST,eunseo71@anryu.kr495,507106,김정숙,032-405-9629,814484-1427028,1965-04-24,58,M,N,세종특별자치시 성동구,삼성거리
168,169,Z3824233981ST,gimjeonghun@naver.com737,748501,최성현,052-392-5854,675155-1424988,1971-07-07,45,M,N,광주광역시 강서구,도산대거리
169,170,Z9604231201ST,gimyeongsig@hotmail.com910,824657,최민석,02-9858-9643,964504-1390031,1932-11-11,77,M,N,부산광역시 금천구,가락1길 (지우이황동)
